game_id,game_date,season,team_id,team_abbr,matchup,win_loss,points,fg_pct,ft_pct,fg3_pct,assists,rebounds,steals,blocks,turnovers,plus_minus,is_home,opponent_abbr,win
0022200443,2022-12-17,2022-23,1610612760,OKC,OKC vs. MEM,W,115,0.413,0.645,0.422,29,53,7,0,9,6.0,1,MEM,1
0022200439,2022-12-17,2022-23,1610612748,MIA,MIA @ SAS,W,111,0.512,0.696,0.367,25,40,14,3,12,10.0,0,SAS,1
0022200440,2022-12-17,2022-23,1610612742,DAL,DAL @ CLE,L,99,0.409,0.632,0.306,19,45,5,6,11,-1.0,0,CLE,0
0022200440,2022-12-17,2022-23,1610612739,CLE,CLE vs. DAL,W,100,0.426,0.591,0.194,23,51,6,5,10,1.0,1,DAL,1
0022200436,2022-12-16,2022-23,1610612742,DAL,DAL vs. POR,W,130,0.556,0.846,0.419,25,40,4,5,12,20.0,1,POR,1
0022200434,2022-12-16,2022-23,1610612752,NYK,NYK @ CHI,W,114,0.402,0.719,0.386,19,50,13,2,10,23.0,0,CHI,1
0022200437,2022-12-16,2022-23,1610612743,DEN,DEN @ LAL,L,108,0.481,0.75,0.333,25,39,7,4,19,-18.0,0,LAL,0
0022200431,2022-12-16,2022-23,1610612739,CLE,CLE vs. IND,W,118,0.5,0.875,0.452,23,34,6,2,8,6.0,1,IND,1
0022200435,2022-12-16,2022-23,1610612760,OKC,OKC vs. MIN,L,110,0.466,0.81,0.297,29,45,7,4,22,-2.0,1,MIN,0
0022200435,2022-12-16,2022-23,1610612750,MIN,MIN @ OKC,W,112,0.494,0.56,0.48,23,43,16,6,16,2.0,0,OKC,1
0022200430,2022-12-16,2022-23,1610612738,BOS,BOS vs. ORL,L,109,0.417,0.824,0.239,17,38,9,12,14,-8.0,1,ORL,0
0022200425,2022-12-15,2022-23,1610612749,MIL,MIL @ MEM,L,101,0.372,0.667,0.26,22,39,5,1,9,-41.0,0,MEM,0
0022200424,2022-12-15,2022-23,1610612748,MIA,MIA @ HOU,W,111,0.443,0.739,0.34,21,40,10,6,14,3.0,0,HOU,1
0022200427,2022-12-15,2022-23,1610612756,PHX,PHX @ LAC,W,111,0.463,0.778,0.281,27,53,8,8,8,16.0,0,LAC,1
0022200422,2022-12-14,2022-23,1610612743,DEN,DEN vs. WAS,W,141,0.651,0.829,0.25,31,45,8,7,18,13.0,1,WAS,1
0022200423,2022-12-14,2022-23,1610612750,MIN,MIN @ LAC,L,88,0.419,0.733,0.182,15,43,9,4,17,-11.0,0,LAC,0
0022200418,2022-12-14,2022-23,1610612752,NYK,NYK @ CHI,W,128,0.495,0.8,0.529,25,48,7,5,15,8.0,0,CHI,1
0022200421,2022-12-14,2022-23,1610612742,DAL,DAL vs. CLE,L,90,0.392,0.731,0.342,17,33,2,3,12,-15.0,1,CLE,0
0022200421,2022-12-14,2022-23,1610612739,CLE,CLE @ DAL,W,105,0.526,0.789,0.333,26,43,5,2,6,15.0,0,DAL,1
0022200419,2022-12-14,2022-23,1610612760,OKC,OKC vs. MIA,L,108,0.5,0.739,0.375,26,44,7,4,14,-2.0,1,MIA,0
0022200419,2022-12-14,2022-23,1610612748,MIA,MIA @ OKC,W,110,0.43,0.8,0.429,25,39,9,1,14,2.0,0,OKC,1
0022200410,2022-12-13,2022-23,1610612749,MIL,MIL vs. GSW,W,128,0.549,0.813,0.414,22,55,8,5,21,17.0,1,GSW,1
0022200411,2022-12-13,2022-23,1610612756,PHX,PHX @ HOU,L,97,0.32,0.947,0.255,22,44,13,7,9,-14.0,0,HOU,0
0022200413,2022-12-13,2022-23,1610612738,BOS,BOS @ LAL,W,122,0.442,0.688,0.396,27,51,6,2,14,4.0,0,LAL,1
0022200408,2022-12-12,2022-23,1610612738,BOS,BOS @ LAC,L,93,0.434,0.692,0.231,27,36,5,6,15,-20.0,0,LAC,0
0022200402,2022-12-12,2022-23,1610612748,MIA,MIA @ IND,W,87,0.386,0.778,0.265,23,48,7,2,13,5.0,0,IND,1
0022200407,2022-12-12,2022-23,1610612750,MIN,MIN @ POR,L,112,0.495,0.526,0.37,25,37,12,2,10,-21.0,0,POR,0
